,Product_Name,Price,Description
227,"HP Victus Gaming Laptop 12th Gen Intel Core i5-12450H 15.6 inch(39.6 cm) FHD IPS Gaming Laptop(16GB RAM/512GB SSD/NVIDIA GeForce RTX 3050 graphics/144Hz/Backlit KB/B&O/Alexa/Xbox),15-fa0666TX  ","71,990","Laptop 12th Gen Intel Core i5-12450H 15.6 inch(39.6 cm) FHD IPS Gaming Laptop(16GB RAM/512GB SSD/NVIDIA GeForce RTX 3050 graphics/144Hz/Backlit KB/B&O/Alexa/Xbox),15-fa0666TX  "
228,"Apple 2023 MacBook Pro Laptop M2 Pro chip with 10‑core CPU and 16‑core GPU: 33.74 cm (14.2-inch), 16GB Unified Memory, 512GB SSD Storage. Works with iPhone/iPad; Space Grey  ","1,99,900","Pro Laptop M2 Pro chip with 10‑core CPU and 16‑core GPU: 33.74 cm (14.2-inch), 16GB Unified Memory, 512GB SSD Storage. Works with iPhone/iPad; Space Grey  "
229,"Acer Predator Helios Neo 16 Gaming Laptop 13th Gen Intel Core i7 Processor (16 GB/1 TB SSD/Windows 11 Home/NVIDIA® GeForce RTX™ 4050) PHN16-71, (16"") WUXGA Display  ","1,29,990","Neo 16 Gaming Laptop 13th Gen Intel Core i7 Processor (16 GB/1 TB SSD/Windows 11 Home/NVIDIA® GeForce RTX™ 4050) PHN16-71, (16"") WUXGA Display  "
230,"GIGABYTE AORUS 15 XE5, 15.6"" Inch QHD 165Hz, Intel Core i7-12700H 12th Gen, RTX 3070Ti 8GB Graphics, Gaming Laptop (16GB DDR5 Memory/Windows 11 Home/ Gen4 1TB SSD/Office 365 / Black)  ","1,31,990","XE5, 15.6"" Inch QHD 165Hz, Intel Core i7-12700H 12th Gen, RTX 3070Ti 8GB Graphics, Gaming Laptop (16GB DDR5 Memory/Windows 11 Home/ Gen4 1TB SSD/Office 365 / Black)  "
231,"ASUS TUF Gaming A15, 15.6-inch (39.62 cms) FHD 144Hz, AMD Ryzen 5 4600H, 4GB NVIDIA GeForce GTX 1650, Gaming Laptop (8GB/512GB SSD/Windows 11/Black/2.3 Kg), FA506IHRZ-HN111W  ","49,990","A15, 15.6-inch (39.62 cms) FHD 144Hz, AMD Ryzen 5 4600H, 4GB NVIDIA GeForce GTX 1650, Gaming Laptop (8GB/512GB SSD/Windows 11/Black/2.3 Kg), FA506IHRZ-HN111W  "
232,"Dell Vostro 3420 Laptop,Intel i5-1135G7/8GB/512GB SSD/14.0""(35.56cm)FHD Display+TÜV Rheinland Certified Comfortview to Reduce Harmful Blue Light Emissions/Windows11+MSO'21/15 Month McAfee/Black/1.48kg  ","48,490","Laptop,Intel i5-1135G7/8GB/512GB SSD/14.0""(35.56cm)FHD Display+TÜV Rheinland Certified Comfortview to Reduce Harmful Blue Light Emissions/Windows11+MSO'21/15 Month McAfee/Black/1.48kg  "
233,"ASUS Zenbook Pro Duo 15 OLED (2022),15.6""(39.62 cms) 4K OLED Touch,Intel Core i7-12700H 12th Gen,Dual Screen Laptop(32GB/1TB SSD/6GB GeForce RTX 3060/Windows 11/Office 2021/Blue/2.3 kg),UX582ZM-H701WS  ","1,99,990","Duo 15 OLED (2022),15.6""(39.62 cms) 4K OLED Touch,Intel Core i7-12700H 12th Gen,Dual Screen Laptop(32GB/1TB SSD/6GB GeForce RTX 3060/Windows 11/Office 2021/Blue/2.3 kg),UX582ZM-H701WS  "
234,"ASUS ROG Zephyrus G15(2022), 15.6"" (39.62 cms) 2K WQHD 240Hz/3ms, AMD Ryzen 9 6900HS, 8GB RTX 3070 Ti, Gaming Laptop (16GB/1TB SSD/90WHrs Battery/Windows 11/Office 2021/White/1.9 Kg), GA503RW-LN066WS  ","1,79,990","G15(2022), 15.6"" (39.62 cms) 2K WQHD 240Hz/3ms, AMD Ryzen 9 6900HS, 8GB RTX 3070 Ti, Gaming Laptop (16GB/1TB SSD/90WHrs Battery/Windows 11/Office 2021/White/1.9 Kg), GA503RW-LN066WS  "
235,"Acer One 14 Business Laptop Intel Core i5 1135G7 (16GB RAM/512GB SSD/Windows 11 Home/MS Office Home and Student) Z8-415 with 35.56 cm (14.0"") Full HD Display (Silver)  ","44,990","Business Laptop Intel Core i5 1135G7 (16GB RAM/512GB SSD/Windows 11 Home/MS Office Home and Student) Z8-415 with 35.56 cm (14.0"") Full HD Display (Silver)  "
236,Acer Extensa 15 Laptop Intel Core i3 N305 8 core Processor (8 GB/256 GB SSD/Win11 Home/MS Office Home and Student/Intel UHD Graphics/1.7 KG/Silver) EX215-33 FHD Display  ,"31,990",Laptop Intel Core i3 N305 8 core Processor (8 GB/256 GB SSD/Win11 Home/MS Office Home and Student/Intel UHD Graphics/1.7 KG/Silver) EX215-33 FHD Display  
237,"Dell Vostro 3510 Laptop,Intel i5-1135G7/8GB/1TB+256GB SSD/15.6""(39.62cm)FHD,TÜV Rheinland Certified ComfortviewReduce Harmful Blue Light/Backlit KB + FPR/Windows 11+MSO'21/15 Month McAfee/Black/1.69kg  ","52,490","Laptop,Intel i5-1135G7/8GB/1TB+256GB SSD/15.6""(39.62cm)FHD,TÜV Rheinland Certified ComfortviewReduce Harmful Blue Light/Backlit KB + FPR/Windows 11+MSO'21/15 Month McAfee/Black/1.69kg  "
238,"HP Laptop 15s, 12th Gen Intel Core i5-1235U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel Iris Xe Graphics, Backlit KB, Thin & Light (Win 11, MSO 2021, Silver, 1.69 kg), fq5111TU  ","54,490","12th Gen Intel Core i5-1235U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel Iris Xe Graphics, Backlit KB, Thin & Light (Win 11, MSO 2021, Silver, 1.69 kg), fq5111TU  "
239,"Honor MagicBook 14, AMD Ryzen 5 5500U 14-inch (35.56 cm) FHD IPS Anti-Glare Thin and Light Laptop (16GB/512GB PCIe SSD/Windows 11/Fingerprint Login/Metal Body/Backlit KB/1.38Kg), Gray, NobelM-WFQ9AHNE  ","41,990","AMD Ryzen 5 5500U 14-inch (35.56 cm) FHD IPS Anti-Glare Thin and Light Laptop (16GB/512GB PCIe SSD/Windows 11/Fingerprint Login/Metal Body/Backlit KB/1.38Kg), Gray, NobelM-WFQ9AHNE  "
240,"Lenovo V15 Intel Celeron N4500 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/256GB SSD/Windows 11 Home/Black/1Y Onsite/1.7 kg), 82QYA00MIN  ","23,319","Celeron N4500 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/256GB SSD/Windows 11 Home/Black/1Y Onsite/1.7 kg), 82QYA00MIN  "
241,"ASUS ProArt Studiobook 16 OLED (2022) Dial, 16.0"" (40.64 cms) 4K OLED, Intel Core i9 12th Gen, Laptop (16GB/1TB SSD/6GB RTX 3060 Graphics/Windows 11/Office 2021/Black/2.4 Kg) H7600ZM-L901WS  ","1,99,480","16 OLED (2022) Dial, 16.0"" (40.64 cms) 4K OLED, Intel Core i9 12th Gen, Laptop (16GB/1TB SSD/6GB RTX 3060 Graphics/Windows 11/Office 2021/Black/2.4 Kg) H7600ZM-L901WS  "
242,"ASUS ROG Flow X16 (2022), 16""(40.64 cm) QHD+ 16:10 165Hz/3ms Touch, AMD Ryzen 7 6800HS, 6GB RTX 3060, 2-in-1 Gaming Laptop (16GB/1TB SSD/90WHrs Battery/Win 11/with Office/Gray/2 Kg), GV601RM-M6054WS  ","1,56,990","X16 (2022), 16""(40.64 cm) QHD+ 16:10 165Hz/3ms Touch, AMD Ryzen 7 6800HS, 6GB RTX 3060, 2-in-1 Gaming Laptop (16GB/1TB SSD/90WHrs Battery/Win 11/with Office/Gray/2 Kg), GV601RM-M6054WS  "
243,"HP Victus Gaming Laptop 12th Gen Intel Core i5-12450H 15.6 inch(39.6 cm) FHD IPS Gaming Laptop(16GB RAM/512GB SSD/NVIDIA GeForce RTX 3050 graphics/144Hz/Backlit KB/B&O/Alexa/Xbox),15-fa0666TX  ","71,990","Laptop 12th Gen Intel Core i5-12450H 15.6 inch(39.6 cm) FHD IPS Gaming Laptop(16GB RAM/512GB SSD/NVIDIA GeForce RTX 3050 graphics/144Hz/Backlit KB/B&O/Alexa/Xbox),15-fa0666TX  "
244,"Apple 2023 MacBook Pro Laptop M2 Pro chip with 10‑core CPU and 16‑core GPU: 33.74 cm (14.2-inch), 16GB Unified Memory, 512GB SSD Storage. Works with iPhone/iPad; Space Grey  ","1,99,900","Pro Laptop M2 Pro chip with 10‑core CPU and 16‑core GPU: 33.74 cm (14.2-inch), 16GB Unified Memory, 512GB SSD Storage. Works with iPhone/iPad; Space Grey  "
245,"Acer Predator Helios Neo 16 Gaming Laptop 13th Gen Intel Core i7 Processor (16 GB/1 TB SSD/Windows 11 Home/NVIDIA® GeForce RTX™ 4050) PHN16-71, (16"") WUXGA Display  ","1,29,990","Neo 16 Gaming Laptop 13th Gen Intel Core i7 Processor (16 GB/1 TB SSD/Windows 11 Home/NVIDIA® GeForce RTX™ 4050) PHN16-71, (16"") WUXGA Display  "
246,"GIGABYTE AORUS 15 XE5, 15.6"" Inch QHD 165Hz, Intel Core i7-12700H 12th Gen, RTX 3070Ti 8GB Graphics, Gaming Laptop (16GB DDR5 Memory/Windows 11 Home/ Gen4 1TB SSD/Office 365 / Black)  ","1,31,990","XE5, 15.6"" Inch QHD 165Hz, Intel Core i7-12700H 12th Gen, RTX 3070Ti 8GB Graphics, Gaming Laptop (16GB DDR5 Memory/Windows 11 Home/ Gen4 1TB SSD/Office 365 / Black)  "
247,"ASUS TUF Gaming A15, 15.6-inch (39.62 cms) FHD 144Hz, AMD Ryzen 5 4600H, 4GB NVIDIA GeForce GTX 1650, Gaming Laptop (8GB/512GB SSD/Windows 11/Black/2.3 Kg), FA506IHRZ-HN111W  ","49,990","A15, 15.6-inch (39.62 cms) FHD 144Hz, AMD Ryzen 5 4600H, 4GB NVIDIA GeForce GTX 1650, Gaming Laptop (8GB/512GB SSD/Windows 11/Black/2.3 Kg), FA506IHRZ-HN111W  "
248,"Dell Vostro 3420 Laptop,Intel i5-1135G7/8GB/512GB SSD/14.0""(35.56cm)FHD Display+TÜV Rheinland Certified Comfortview to Reduce Harmful Blue Light Emissions/Windows11+MSO'21/15 Month McAfee/Black/1.48kg  ","48,490","Laptop,Intel i5-1135G7/8GB/512GB SSD/14.0""(35.56cm)FHD Display+TÜV Rheinland Certified Comfortview to Reduce Harmful Blue Light Emissions/Windows11+MSO'21/15 Month McAfee/Black/1.48kg  "
249,"ASUS Zenbook Pro Duo 15 OLED (2022),15.6""(39.62 cms) 4K OLED Touch,Intel Core i7-12700H 12th Gen,Dual Screen Laptop(32GB/1TB SSD/6GB GeForce RTX 3060/Windows 11/Office 2021/Blue/2.3 kg),UX582ZM-H701WS  ","1,99,990","Duo 15 OLED (2022),15.6""(39.62 cms) 4K OLED Touch,Intel Core i7-12700H 12th Gen,Dual Screen Laptop(32GB/1TB SSD/6GB GeForce RTX 3060/Windows 11/Office 2021/Blue/2.3 kg),UX582ZM-H701WS  "
250,"ASUS ROG Zephyrus G15(2022), 15.6"" (39.62 cms) 2K WQHD 240Hz/3ms, AMD Ryzen 9 6900HS, 8GB RTX 3070 Ti, Gaming Laptop (16GB/1TB SSD/90WHrs Battery/Windows 11/Office 2021/White/1.9 Kg), GA503RW-LN066WS  ","1,79,990","G15(2022), 15.6"" (39.62 cms) 2K WQHD 240Hz/3ms, AMD Ryzen 9 6900HS, 8GB RTX 3070 Ti, Gaming Laptop (16GB/1TB SSD/90WHrs Battery/Windows 11/Office 2021/White/1.9 Kg), GA503RW-LN066WS  "
251,"Acer One 14 Business Laptop Intel Core i5 1135G7 (16GB RAM/512GB SSD/Windows 11 Home/MS Office Home and Student) Z8-415 with 35.56 cm (14.0"") Full HD Display (Silver)  ","44,990","Business Laptop Intel Core i5 1135G7 (16GB RAM/512GB SSD/Windows 11 Home/MS Office Home and Student) Z8-415 with 35.56 cm (14.0"") Full HD Display (Silver)  "
252,Acer Extensa 15 Laptop Intel Core i3 N305 8 core Processor (8 GB/256 GB SSD/Win11 Home/MS Office Home and Student/Intel UHD Graphics/1.7 KG/Silver) EX215-33 FHD Display  ,"31,990",Laptop Intel Core i3 N305 8 core Processor (8 GB/256 GB SSD/Win11 Home/MS Office Home and Student/Intel UHD Graphics/1.7 KG/Silver) EX215-33 FHD Display  
253,"Dell Vostro 3510 Laptop,Intel i5-1135G7/8GB/1TB+256GB SSD/15.6""(39.62cm)FHD,TÜV Rheinland Certified ComfortviewReduce Harmful Blue Light/Backlit KB + FPR/Windows 11+MSO'21/15 Month McAfee/Black/1.69kg  ","52,490","Laptop,Intel i5-1135G7/8GB/1TB+256GB SSD/15.6""(39.62cm)FHD,TÜV Rheinland Certified ComfortviewReduce Harmful Blue Light/Backlit KB + FPR/Windows 11+MSO'21/15 Month McAfee/Black/1.69kg  "
254,"HP Laptop 15s, 12th Gen Intel Core i5-1235U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel Iris Xe Graphics, Backlit KB, Thin & Light (Win 11, MSO 2021, Silver, 1.69 kg), fq5111TU  ","54,490","12th Gen Intel Core i5-1235U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel Iris Xe Graphics, Backlit KB, Thin & Light (Win 11, MSO 2021, Silver, 1.69 kg), fq5111TU  "
255,"Honor MagicBook 14, AMD Ryzen 5 5500U 14-inch (35.56 cm) FHD IPS Anti-Glare Thin and Light Laptop (16GB/512GB PCIe SSD/Windows 11/Fingerprint Login/Metal Body/Backlit KB/1.38Kg), Gray, NobelM-WFQ9AHNE  ","41,990","AMD Ryzen 5 5500U 14-inch (35.56 cm) FHD IPS Anti-Glare Thin and Light Laptop (16GB/512GB PCIe SSD/Windows 11/Fingerprint Login/Metal Body/Backlit KB/1.38Kg), Gray, NobelM-WFQ9AHNE  "
256,"Lenovo V15 Intel Celeron N4500 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/256GB SSD/Windows 11 Home/Black/1Y Onsite/1.7 kg), 82QYA00MIN  ","23,319","Celeron N4500 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/256GB SSD/Windows 11 Home/Black/1Y Onsite/1.7 kg), 82QYA00MIN  "
257,"ASUS ProArt Studiobook 16 OLED (2022) Dial, 16.0"" (40.64 cms) 4K OLED, Intel Core i9 12th Gen, Laptop (16GB/1TB SSD/6GB RTX 3060 Graphics/Windows 11/Office 2021/Black/2.4 Kg) H7600ZM-L901WS  ","1,99,480","16 OLED (2022) Dial, 16.0"" (40.64 cms) 4K OLED, Intel Core i9 12th Gen, Laptop (16GB/1TB SSD/6GB RTX 3060 Graphics/Windows 11/Office 2021/Black/2.4 Kg) H7600ZM-L901WS  "
258,"ASUS ROG Flow X16 (2022), 16""(40.64 cm) QHD+ 16:10 165Hz/3ms Touch, AMD Ryzen 7 6800HS, 6GB RTX 3060, 2-in-1 Gaming Laptop (16GB/1TB SSD/90WHrs Battery/Win 11/with Office/Gray/2 Kg), GV601RM-M6054WS  ","1,56,990","X16 (2022), 16""(40.64 cm) QHD+ 16:10 165Hz/3ms Touch, AMD Ryzen 7 6800HS, 6GB RTX 3060, 2-in-1 Gaming Laptop (16GB/1TB SSD/90WHrs Battery/Win 11/with Office/Gray/2 Kg), GV601RM-M6054WS  "
259,"HP Victus Gaming Laptop 12th Gen Intel Core i5-12450H 15.6 inch(39.6 cm) FHD IPS Gaming Laptop(16GB RAM/512GB SSD/NVIDIA GeForce RTX 3050 graphics/144Hz/Backlit KB/B&O/Alexa/Xbox),15-fa0666TX  ","71,990","Laptop 12th Gen Intel Core i5-12450H 15.6 inch(39.6 cm) FHD IPS Gaming Laptop(16GB RAM/512GB SSD/NVIDIA GeForce RTX 3050 graphics/144Hz/Backlit KB/B&O/Alexa/Xbox),15-fa0666TX  "
260,"Apple 2023 MacBook Pro Laptop M2 Pro chip with 10‑core CPU and 16‑core GPU: 33.74 cm (14.2-inch), 16GB Unified Memory, 512GB SSD Storage. Works with iPhone/iPad; Space Grey  ","1,99,900","Pro Laptop M2 Pro chip with 10‑core CPU and 16‑core GPU: 33.74 cm (14.2-inch), 16GB Unified Memory, 512GB SSD Storage. Works with iPhone/iPad; Space Grey  "
261,"Acer Predator Helios Neo 16 Gaming Laptop 13th Gen Intel Core i7 Processor (16 GB/1 TB SSD/Windows 11 Home/NVIDIA® GeForce RTX™ 4050) PHN16-71, (16"") WUXGA Display  ","1,29,990","Neo 16 Gaming Laptop 13th Gen Intel Core i7 Processor (16 GB/1 TB SSD/Windows 11 Home/NVIDIA® GeForce RTX™ 4050) PHN16-71, (16"") WUXGA Display  "
262,"GIGABYTE AORUS 15 XE5, 15.6"" Inch QHD 165Hz, Intel Core i7-12700H 12th Gen, RTX 3070Ti 8GB Graphics, Gaming Laptop (16GB DDR5 Memory/Windows 11 Home/ Gen4 1TB SSD/Office 365 / Black)  ","1,31,990","XE5, 15.6"" Inch QHD 165Hz, Intel Core i7-12700H 12th Gen, RTX 3070Ti 8GB Graphics, Gaming Laptop (16GB DDR5 Memory/Windows 11 Home/ Gen4 1TB SSD/Office 365 / Black)  "
263,"ASUS TUF Gaming A15, 15.6-inch (39.62 cms) FHD 144Hz, AMD Ryzen 5 4600H, 4GB NVIDIA GeForce GTX 1650, Gaming Laptop (8GB/512GB SSD/Windows 11/Black/2.3 Kg), FA506IHRZ-HN111W  ","49,990","A15, 15.6-inch (39.62 cms) FHD 144Hz, AMD Ryzen 5 4600H, 4GB NVIDIA GeForce GTX 1650, Gaming Laptop (8GB/512GB SSD/Windows 11/Black/2.3 Kg), FA506IHRZ-HN111W  "
264,"Dell Vostro 3420 Laptop,Intel i5-1135G7/8GB/512GB SSD/14.0""(35.56cm)FHD Display+TÜV Rheinland Certified Comfortview to Reduce Harmful Blue Light Emissions/Windows11+MSO'21/15 Month McAfee/Black/1.48kg  ","48,490","Laptop,Intel i5-1135G7/8GB/512GB SSD/14.0""(35.56cm)FHD Display+TÜV Rheinland Certified Comfortview to Reduce Harmful Blue Light Emissions/Windows11+MSO'21/15 Month McAfee/Black/1.48kg  "
265,"ASUS Zenbook Pro Duo 15 OLED (2022),15.6""(39.62 cms) 4K OLED Touch,Intel Core i7-12700H 12th Gen,Dual Screen Laptop(32GB/1TB SSD/6GB GeForce RTX 3060/Windows 11/Office 2021/Blue/2.3 kg),UX582ZM-H701WS  ","1,99,990","Duo 15 OLED (2022),15.6""(39.62 cms) 4K OLED Touch,Intel Core i7-12700H 12th Gen,Dual Screen Laptop(32GB/1TB SSD/6GB GeForce RTX 3060/Windows 11/Office 2021/Blue/2.3 kg),UX582ZM-H701WS  "
266,"ASUS ROG Zephyrus G15(2022), 15.6"" (39.62 cms) 2K WQHD 240Hz/3ms, AMD Ryzen 9 6900HS, 8GB RTX 3070 Ti, Gaming Laptop (16GB/1TB SSD/90WHrs Battery/Windows 11/Office 2021/White/1.9 Kg), GA503RW-LN066WS  ","1,79,990","G15(2022), 15.6"" (39.62 cms) 2K WQHD 240Hz/3ms, AMD Ryzen 9 6900HS, 8GB RTX 3070 Ti, Gaming Laptop (16GB/1TB SSD/90WHrs Battery/Windows 11/Office 2021/White/1.9 Kg), GA503RW-LN066WS  "
267,"Acer One 14 Business Laptop Intel Core i5 1135G7 (16GB RAM/512GB SSD/Windows 11 Home/MS Office Home and Student) Z8-415 with 35.56 cm (14.0"") Full HD Display (Silver)  ","44,990","Business Laptop Intel Core i5 1135G7 (16GB RAM/512GB SSD/Windows 11 Home/MS Office Home and Student) Z8-415 with 35.56 cm (14.0"") Full HD Display (Silver)  "
268,Acer Extensa 15 Laptop Intel Core i3 N305 8 core Processor (8 GB/256 GB SSD/Win11 Home/MS Office Home and Student/Intel UHD Graphics/1.7 KG/Silver) EX215-33 FHD Display  ,"31,990",Laptop Intel Core i3 N305 8 core Processor (8 GB/256 GB SSD/Win11 Home/MS Office Home and Student/Intel UHD Graphics/1.7 KG/Silver) EX215-33 FHD Display  
269,"Dell Vostro 3510 Laptop,Intel i5-1135G7/8GB/1TB+256GB SSD/15.6""(39.62cm)FHD,TÜV Rheinland Certified ComfortviewReduce Harmful Blue Light/Backlit KB + FPR/Windows 11+MSO'21/15 Month McAfee/Black/1.69kg  ","52,490","Laptop,Intel i5-1135G7/8GB/1TB+256GB SSD/15.6""(39.62cm)FHD,TÜV Rheinland Certified ComfortviewReduce Harmful Blue Light/Backlit KB + FPR/Windows 11+MSO'21/15 Month McAfee/Black/1.69kg  "
270,"HP Laptop 15s, 12th Gen Intel Core i5-1235U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel Iris Xe Graphics, Backlit KB, Thin & Light (Win 11, MSO 2021, Silver, 1.69 kg), fq5111TU  ","54,490","12th Gen Intel Core i5-1235U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel Iris Xe Graphics, Backlit KB, Thin & Light (Win 11, MSO 2021, Silver, 1.69 kg), fq5111TU  "
271,"Honor MagicBook 14, AMD Ryzen 5 5500U 14-inch (35.56 cm) FHD IPS Anti-Glare Thin and Light Laptop (16GB/512GB PCIe SSD/Windows 11/Fingerprint Login/Metal Body/Backlit KB/1.38Kg), Gray, NobelM-WFQ9AHNE  ","41,990","AMD Ryzen 5 5500U 14-inch (35.56 cm) FHD IPS Anti-Glare Thin and Light Laptop (16GB/512GB PCIe SSD/Windows 11/Fingerprint Login/Metal Body/Backlit KB/1.38Kg), Gray, NobelM-WFQ9AHNE  "
272,"Lenovo V15 Intel Celeron N4500 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/256GB SSD/Windows 11 Home/Black/1Y Onsite/1.7 kg), 82QYA00MIN  ","23,319","Celeron N4500 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/256GB SSD/Windows 11 Home/Black/1Y Onsite/1.7 kg), 82QYA00MIN  "
273,"ASUS ProArt Studiobook 16 OLED (2022) Dial, 16.0"" (40.64 cms) 4K OLED, Intel Core i9 12th Gen, Laptop (16GB/1TB SSD/6GB RTX 3060 Graphics/Windows 11/Office 2021/Black/2.4 Kg) H7600ZM-L901WS  ","1,99,480","16 OLED (2022) Dial, 16.0"" (40.64 cms) 4K OLED, Intel Core i9 12th Gen, Laptop (16GB/1TB SSD/6GB RTX 3060 Graphics/Windows 11/Office 2021/Black/2.4 Kg) H7600ZM-L901WS  "
274,"ASUS ROG Flow X16 (2022), 16""(40.64 cm) QHD+ 16:10 165Hz/3ms Touch, AMD Ryzen 7 6800HS, 6GB RTX 3060, 2-in-1 Gaming Laptop (16GB/1TB SSD/90WHrs Battery/Win 11/with Office/Gray/2 Kg), GV601RM-M6054WS  ","1,56,990","X16 (2022), 16""(40.64 cm) QHD+ 16:10 165Hz/3ms Touch, AMD Ryzen 7 6800HS, 6GB RTX 3060, 2-in-1 Gaming Laptop (16GB/1TB SSD/90WHrs Battery/Win 11/with Office/Gray/2 Kg), GV601RM-M6054WS  "
275,"HP Victus Gaming Laptop 12th Gen Intel Core i5-12450H 15.6 inch(39.6 cm) FHD IPS Gaming Laptop(16GB RAM/512GB SSD/NVIDIA GeForce RTX 3050 graphics/144Hz/Backlit KB/B&O/Alexa/Xbox),15-fa0666TX  ","71,990","Laptop 12th Gen Intel Core i5-12450H 15.6 inch(39.6 cm) FHD IPS Gaming Laptop(16GB RAM/512GB SSD/NVIDIA GeForce RTX 3050 graphics/144Hz/Backlit KB/B&O/Alexa/Xbox),15-fa0666TX  "
276,"Apple 2023 MacBook Pro Laptop M2 Pro chip with 10‑core CPU and 16‑core GPU: 33.74 cm (14.2-inch), 16GB Unified Memory, 512GB SSD Storage. Works with iPhone/iPad; Space Grey  ","1,99,900","Pro Laptop M2 Pro chip with 10‑core CPU and 16‑core GPU: 33.74 cm (14.2-inch), 16GB Unified Memory, 512GB SSD Storage. Works with iPhone/iPad; Space Grey  "
277,"Acer Predator Helios Neo 16 Gaming Laptop 13th Gen Intel Core i7 Processor (16 GB/1 TB SSD/Windows 11 Home/NVIDIA® GeForce RTX™ 4050) PHN16-71, (16"") WUXGA Display  ","1,29,990","Neo 16 Gaming Laptop 13th Gen Intel Core i7 Processor (16 GB/1 TB SSD/Windows 11 Home/NVIDIA® GeForce RTX™ 4050) PHN16-71, (16"") WUXGA Display  "
278,"GIGABYTE AORUS 15 XE5, 15.6"" Inch QHD 165Hz, Intel Core i7-12700H 12th Gen, RTX 3070Ti 8GB Graphics, Gaming Laptop (16GB DDR5 Memory/Windows 11 Home/ Gen4 1TB SSD/Office 365 / Black)  ","1,31,990","XE5, 15.6"" Inch QHD 165Hz, Intel Core i7-12700H 12th Gen, RTX 3070Ti 8GB Graphics, Gaming Laptop (16GB DDR5 Memory/Windows 11 Home/ Gen4 1TB SSD/Office 365 / Black)  "
279,"ASUS TUF Gaming A15, 15.6-inch (39.62 cms) FHD 144Hz, AMD Ryzen 5 4600H, 4GB NVIDIA GeForce GTX 1650, Gaming Laptop (8GB/512GB SSD/Windows 11/Black/2.3 Kg), FA506IHRZ-HN111W  ","49,990","A15, 15.6-inch (39.62 cms) FHD 144Hz, AMD Ryzen 5 4600H, 4GB NVIDIA GeForce GTX 1650, Gaming Laptop (8GB/512GB SSD/Windows 11/Black/2.3 Kg), FA506IHRZ-HN111W  "
280,"Dell Vostro 3420 Laptop,Intel i5-1135G7/8GB/512GB SSD/14.0""(35.56cm)FHD Display+TÜV Rheinland Certified Comfortview to Reduce Harmful Blue Light Emissions/Windows11+MSO'21/15 Month McAfee/Black/1.48kg  ","48,490","Laptop,Intel i5-1135G7/8GB/512GB SSD/14.0""(35.56cm)FHD Display+TÜV Rheinland Certified Comfortview to Reduce Harmful Blue Light Emissions/Windows11+MSO'21/15 Month McAfee/Black/1.48kg  "
281,"ASUS Zenbook Pro Duo 15 OLED (2022),15.6""(39.62 cms) 4K OLED Touch,Intel Core i7-12700H 12th Gen,Dual Screen Laptop(32GB/1TB SSD/6GB GeForce RTX 3060/Windows 11/Office 2021/Blue/2.3 kg),UX582ZM-H701WS  ","1,99,990","Duo 15 OLED (2022),15.6""(39.62 cms) 4K OLED Touch,Intel Core i7-12700H 12th Gen,Dual Screen Laptop(32GB/1TB SSD/6GB GeForce RTX 3060/Windows 11/Office 2021/Blue/2.3 kg),UX582ZM-H701WS  "
282,"ASUS ROG Zephyrus G15(2022), 15.6"" (39.62 cms) 2K WQHD 240Hz/3ms, AMD Ryzen 9 6900HS, 8GB RTX 3070 Ti, Gaming Laptop (16GB/1TB SSD/90WHrs Battery/Windows 11/Office 2021/White/1.9 Kg), GA503RW-LN066WS  ","1,79,990","G15(2022), 15.6"" (39.62 cms) 2K WQHD 240Hz/3ms, AMD Ryzen 9 6900HS, 8GB RTX 3070 Ti, Gaming Laptop (16GB/1TB SSD/90WHrs Battery/Windows 11/Office 2021/White/1.9 Kg), GA503RW-LN066WS  "
283,"Acer One 14 Business Laptop Intel Core i5 1135G7 (16GB RAM/512GB SSD/Windows 11 Home/MS Office Home and Student) Z8-415 with 35.56 cm (14.0"") Full HD Display (Silver)  ","44,990","Business Laptop Intel Core i5 1135G7 (16GB RAM/512GB SSD/Windows 11 Home/MS Office Home and Student) Z8-415 with 35.56 cm (14.0"") Full HD Display (Silver)  "
